City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,amboise,47.4125,0.9827,10.3,76.0,100.0,5.14,FR,1681404494.0
1,powassan,46.0334,-79.3496,22.09,71.0,7.0,3.94,CA,1681404494.0
2,bajil,15.0584,43.2851,30.23,55.0,20.0,4.16,YE,1681404494.0
3,coihaique,-45.5752,-72.0662,10.34,61.0,0.0,2.57,CL,1681404495.0
4,hermanus,-34.4187,19.2345,17.67,75.0,2.0,5.67,ZA,1681404495.0
5,busselton,-33.65,115.3333,11.62,76.0,85.0,9.08,AU,1681404495.0
6,kodiak,57.79,-152.4072,2.73,70.0,100.0,1.54,US,1681404418.0
7,butaritari,3.0707,172.7902,27.19,80.0,62.0,5.16,KI,1681404496.0
8,airai,-8.9266,125.4092,15.93,94.0,51.0,1.02,TL,1681404496.0
9,taltal,-25.4,-70.4833,20.96,72.0,7.0,3.72,CL,1681404497.0
10,avarua,-21.2078,-159.775,25.03,73.0,20.0,2.57,CK,1681404497.0
11,kieta,-6.2167,155.6333,25.34,87.0,100.0,2.09,PG,1681404497.0
12,vaini,-21.2,-175.2,24.09,94.0,20.0,2.06,TO,1681404498.0
13,bengkulu,-3.8004,102.2655,24.98,88.0,95.0,1.69,ID,1681404498.0
14,uvat,59.1433,68.8953,-11.52,78.0,80.0,4.56,RU,1681404498.0
15,severo-kurilsk,50.6789,156.125,0.5,92.0,99.0,3.84,RU,1681404499.0
16,nome,64.5011,-165.4064,-26.02,91.0,0.0,0.0,US,1681404397.0
17,punta arenas,-53.15,-70.9167,7.01,70.0,20.0,3.6,CL,1681404499.0
18,carnarvon,-24.8667,113.6333,22.33,75.0,25.0,12.03,AU,1681404499.0
19,ribeira grande,38.5167,-28.7,18.22,88.0,75.0,5.81,PT,1681404500.0
20,vilyuysk,63.7553,121.6247,-18.29,99.0,58.0,1.86,RU,1681404500.0
21,mogadishu,2.0371,45.3438,28.27,70.0,91.0,5.0,SO,1681404500.0
22,geraldton,-28.7667,114.6,19.23,72.0,75.0,11.32,AU,1681404501.0
23,bethel,41.3712,-73.414,29.79,34.0,0.0,5.14,US,1681404501.0
24,rikitea,-23.1203,-134.9692,22.13,89.0,100.0,1.55,PF,1681404501.0
25,tomatlan,19.9333,-105.25,31.57,20.0,4.0,3.04,MX,1681404371.0
26,svetlogorsk,52.6333,29.7333,7.45,87.0,100.0,5.21,BY,1681404502.0
27,bluff,-46.6,168.3333,11.56,80.0,6.0,7.9,NZ,1681404502.0
28,victoria,22.2855,114.1577,24.1,86.0,45.0,3.58,HK,1681404370.0
29,fortuna,40.5982,-124.1573,11.63,69.0,18.0,0.45,US,1681404502.0
30,alto longa,-5.2511,-42.2103,33.8,41.0,48.0,1.4,BR,1681404503.0
31,rocha,-34.4833,-54.3333,17.05,47.0,90.0,4.15,UY,1681404503.0
32,atuona,-9.8,-139.0333,26.81,69.0,58.0,3.19,PF,1681404309.0
33,tiksi,71.6872,128.8694,-16.77,89.0,100.0,1.97,RU,1681404504.0
